name,size,mounting_type,sensing_distance,output_type,operation_mode,connection_method,material_housing,io_link_baud_rate,overall_length,thread_length,degree_of_protection
E2E-X4C28-M3,M8,Quasi-flush,4 mm,NPN,NC,Connector M8 - 4 pin,"Brass, nickel plated",Not Applicable,39 mm,21 mm,IP67/IP69K
E2E-X4C28-M5,M8,Quasi-flush,4 mm,NPN,NC,Connector M8 - 3 pin,"Brass, nickel plated",Not Applicable,39 mm,21 mm,IP67/IP69K
E2E-X4C2L12 2M,M12,Quasi-flush,4 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4C2L12 5M,M12,Quasi-flush,4 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4C2L12-M1,M12,Quasi-flush,4 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,54 mm,IP67/IP69K
E2E-X4C2L8 2M,M8,Flush,4 mm,NPN,NC,Cable,Stainless steel,Not Applicable,47.8 mm,35 mm,IP67/IP67G/IP69K
E2E-X4C2L8-M1,M8,Flush,4 mm,NPN,NC,Connector M12,High-grade stainless steel,Not Applicable,43 mm,21 mm,IP67/IP69K
E2E-X4C312 2M,M12,Quasi-flush,4 mm,NPN,NO + NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,29 mm,IP67/IP67G/IP69K
E2E-X4C312-M1,M12,Quasi-flush,4 mm,NPN,NO + NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,29 mm,IP67/IP69K
E2E-X4C3L12 2M,M12,Quasi-flush,4 mm,NPN,NO + NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,55 mm,IP67/IP67G/IP69K
E2E-X4C3L12-M1,M12,Quasi-flush,4 mm,NPN,NO + NC,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,54 mm,IP67/IP69K
E2E-X4MB1T8 2M,M8,Non-flush,4 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X4MB1T8 5M,M8,Non-flush,4 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
